"","X.1","X","S_ID","S_gend","S_SES","num_tchrs","phys","tchr1","tchr2","tchr3","tchr4","tchr5","tchr6","tchr7","tchr8","tchr9","tchr10","tchr11","tchr12","w1","w2","w3","w4","w5","w6","w7","w8","w9","w10","w11","w12","Math","t10_exp","t1_exp","t2_exp","t3_exp","t4_exp","t5_exp","t6_exp","t7_exp","t8_exp","t9_exp","t11_exp","t12_exp","phys_tchr","SAT_M","female","NB"
"43",43,43,43,1,14.3719945947415,2,0,33,43,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,449.997665129561,0,9.91540359655629,8.84212216695445,0,0,0,0,0,0,0,0,0,0,566,0,0
"44",44,44,44,0,11.5446927785341,6,1,51,38,44,43,6,52,0,0,0,0,0,0,0.166,0.166,0.166,0.166,0.166,0.166,0,0,0,0,0,0,344.64810067557,0,11.5123969955704,9.73603882956232,11.3092300060931,8.84212216695445,6.70776596349245,12.6640188868136,0,0,0,0,0,16,215,1,0
"45",45,45,45,0,13.6041820924792,4,0,46,18,48,6,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,378.101263349409,0,11.0806765260795,4.43451517905847,12.6319687988971,6.70776596349245,0,0,0,0,0,0,0,0,281,1,0
"46",46,46,46,1,13.5153124141987,3,0,30,18,23,0,0,0,0,0,0,0,0,0,0.33,0.33,0.33,0,0,0,0,0,0,0,0,0,378.304165038578,0,10.1384996975031,4.43451517905847,8.11225407772147,0,0,0,0,0,0,0,0,0,400,0,0
"47",47,47,47,0,15.2499512487841,4,0,16,54,45,35,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,389.794739497833,0,12.6418455693281,11.336725230796,8.63967659646806,11.8696938380526,0,0,0,0,0,0,0,0,356,1,0
"48",48,48,48,0,12.3797870944196,4,1,17,26,31,40,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,467.216436726194,0,9.51628646755361,8.83553574538857,11.3233010955249,13.1075611039344,0,0,0,0,0,0,0,16,592,1,0
"49",49,49,49,1,14.649183772045,2,0,14,34,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,364.393659686493,0,10.3871985168316,11.66787751479,0,0,0,0,0,0,0,0,0,0,207,0,0
"50",50,50,50,1,15.3497858095571,2,1,33,47,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,398.950112996246,0,9.91540359655629,7.17406798003331,0,0,0,0,0,0,0,0,0,18,344,0,0
"51",51,51,51,0,16.9525758784997,6,0,23,10,6,41,56,47,0,0,0,0,0,0,0.166,0.166,0.166,0.166,0.166,0.166,0,0,0,0,0,0,401.547196254991,0,8.11225407772147,8.80820170856509,6.70776596349245,10.6661166318245,11.2095714437702,7.17406798003331,0,0,0,0,0,0,347,1,0
"52",52,52,52,1,12.9277964066287,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,442.023671966748,0,7.80406012825676,0,0,0,0,0,0,0,0,0,0,0,545,0,0
"53",53,53,53,0,13.1423365334791,3,1,24,5,11,0,0,0,0,0,0,0,0,0,0.33,0.33,0.33,0,0,0,0,0,0,0,0,0,441.579674674703,0,9.51271047069275,11.2888051365165,9.29957302994508,0,0,0,0,0,0,0,0,14,664,1,0
"54",54,54,54,0,15.4670924448718,6,0,4,39,36,19,21,31,0,0,0,0,0,0,0.166,0.166,0.166,0.166,0.166,0.166,0,0,0,0,0,0,333.328011462493,0,6.76306352594885,9.11173690987654,11.8739321105798,13.9804579273837,8.71505503742822,11.3233010955249,0,0,0,0,0,0,265,1,0
"55",55,55,55,0,13.5715667222916,2,0,44,3,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,473.393131548563,0,11.3092300060931,9.54109737773958,0,0,0,0,0,0,0,0,0,0,625,1,0
"56",56,56,56,0,13.4316032075224,1,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,475.792692441808,0,8.80820170856509,0,0,0,0,0,0,0,0,0,0,0,637,1,0
"57",57,57,57,0,15.7506408663863,1,0,42,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,498.629135036922,0,12.231555005867,0,0,0,0,0,0,0,0,0,0,0,698,1,0
"58",58,58,58,0,14.7731621733943,2,0,42,24,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,485.473992769401,0,12.231555005867,9.51271047069275,0,0,0,0,0,0,0,0,0,0,706,1,0
"59",59,59,59,1,13.0350295815169,2,0,54,18,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,575.126904235683,0,11.336725230796,4.43451517905847,0,0,0,0,0,0,0,0,0,0,764,0,0
"60",60,60,60,0,9.73228151854838,1,0,36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,479.74096953986,0,11.8739321105798,0,0,0,0,0,0,0,0,0,0,0,547,1,0
"61",61,61,61,1,12.7992570758479,1,0,55,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,447.483970924192,0,10.1474117796323,0,0,0,0,0,0,0,0,0,0,0,482,0,0
"62",62,62,62,0,15.259280098992,4,0,54,55,26,8,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,448.539071994206,0,11.336725230796,10.1474117796323,8.83553574538857,12.3105226427771,0,0,0,0,0,0,0,0,460,1,0
"63",63,63,63,0,11.9776328195838,2,0,6,39,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,380.52854015317,0,6.70776596349245,9.11173690987654,0,0,0,0,0,0,0,0,0,0,267,1,0
"64",64,64,64,0,8.38389016131764,2,0,49,13,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,471.637936097733,0,11.04926962007,10.7984362537483,0,0,0,0,0,0,0,0,0,0,651,1,0
"65",65,65,65,1,13.5494149531956,4,1,51,38,34,9,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,388.750727384987,0,11.5123969955704,9.73603882956232,11.66787751479,7.80406012825676,0,0,0,0,0,0,0,14,283,0,0
"66",66,66,66,0,11.7556502783167,1,0,51,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,449.798343026797,0,11.5123969955704,0,0,0,0,0,0,0,0,0,0,0,528,1,0
"67",67,67,67,0,12.7769823480476,1,0,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,471.600268420257,0,11.3092300060931,0,0,0,0,0,0,0,0,0,0,0,496,1,0
"68",68,68,68,1,12.7717907446114,6,0,2,3,14,31,13,15,0,0,0,0,0,0,0.166,0.166,0.166,0.166,0.166,0.166,0,0,0,0,0,0,397.799813170496,0,12.1012157080687,9.54109737773958,10.3871985168316,11.3233010955249,10.7984362537483,8.29223077917004,0,0,0,0,0,0,472,0,0
"69",69,69,69,0,10.6293394959453,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,373.202995937503,0,11.2888051365165,0,0,0,0,0,0,0,0,0,0,0,331,1,0
"70",70,70,70,1,12.6488312107052,4,1,23,39,33,52,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,513.99503110255,0,8.11225407772147,9.11173690987654,9.91540359655629,12.6640188868136,0,0,0,0,0,0,0,8,659,0,0
"71",71,71,71,0,11.9574724680773,2,0,2,39,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,349.712592061591,0,12.1012157080687,9.11173690987654,0,0,0,0,0,0,0,0,0,0,284,1,0
"72",72,72,72,1,12.5578097028319,3,0,23,51,37,0,0,0,0,0,0,0,0,0,0.33,0.33,0.33,0,0,0,0,0,0,0,0,0,437.742404881593,0,8.11225407772147,11.5123969955704,14.0426112520509,0,0,0,0,0,0,0,0,0,422,0,0
"73",73,73,73,0,11.8942442583678,2,0,54,12,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,484.504708183811,0,11.336725230796,12.6826547730217,0,0,0,0,0,0,0,0,0,0,679,1,0
"74",74,74,74,0,12.1229799050083,6,0,25,36,28,14,22,17,0,0,0,0,0,0,0.166,0.166,0.166,0.166,0.166,0.166,0,0,0,0,0,0,364.936280049102,0,11.0426857338776,11.8739321105798,10.5774280615315,10.3871985168316,9.80367878257245,9.51628646755361,0,0,0,0,0,0,384,1,0
"75",75,75,75,0,11.8647589604317,12,0,20,9,28,56,47,41,5,1,2,27,37,57,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,457.405800404057,10.8196537490001,14.7281041532495,7.80406012825676,10.5774280615315,11.2095714437702,7.17406798003331,10.6661166318245,11.2888051365165,8.98849581602542,12.1012157080687,14.0426112520509,0,0,509,1,0
"76",76,76,76,1,16.6354457472497,2,0,42,22,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,550.068300620637,0,12.231555005867,9.80367878257245,0,0,0,0,0,0,0,0,0,0,781,0,0
"77",77,77,77,1,14.1955532542531,1,0,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,462.141637363774,0,10.8196537490001,0,0,0,0,0,0,0,0,0,0,0,513,0,0
"78",78,78,78,0,13.6074458156216,3,0,3,19,25,0,0,0,0,0,0,0,0,0,0.33,0.33,0.33,0,0,0,0,0,0,0,0,0,429.650028854109,0,9.54109737773958,13.9804579273837,11.0426857338776,0,0,0,0,0,0,0,0,0,565,1,0
"79",79,79,79,1,16.4359195527004,3,0,21,39,23,0,0,0,0,0,0,0,0,0,0.33,0.33,0.33,0,0,0,0,0,0,0,0,0,309.826691452081,0,8.71505503742822,9.11173690987654,8.11225407772147,0,0,0,0,0,0,0,0,0,201,0,0
"80",80,80,80,2,11.2146671549775,2,1,42,29,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,419.390536188729,0,12.231555005867,10.7250079784901,0,0,0,0,0,0,0,0,0,17,216,0,1
"81",81,81,81,0,14.1470695054138,1,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,365.674585146279,0,4.43451517905847,0,0,0,0,0,0,0,0,0,0,0,317,1,0
"82",82,82,82,1,10.975287290021,1,1,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,410.143604045805,0,10.7984362537483,0,0,0,0,0,0,0,0,0,0,14,533,0,0
"83",83,83,83,0,12.0359492047561,1,0,47,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,572.974006531147,0,7.17406798003331,0,0,0,0,0,0,0,0,0,0,0,754,1,0
"84",84,84,84,0,14.0228115022961,1,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,440.119319114565,0,12.6826547730217,0,0,0,0,0,0,0,0,0,0,0,458,1,0
"85",85,85,85,1,11.8802259309014,2,1,2,10,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,425.637325454543,0,12.1012157080687,8.80820170856509,0,0,0,0,0,0,0,0,0,4,529,0,0
"86",86,86,86,0,12.0347127858527,3,0,37,19,46,0,0,0,0,0,0,0,0,0,0.33,0.33,0.33,0,0,0,0,0,0,0,0,0,556.428890173238,0,14.0426112520509,13.9804579273837,11.0806765260795,0,0,0,0,0,0,0,0,0,773,1,0
"87",87,87,87,1,15.9458521220593,1,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,406.008473406101,0,10.7984362537483,0,0,0,0,0,0,0,0,0,0,0,475,0,0
"88",88,88,88,0,16.1884449212821,1,0,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,365.449020674383,0,10.5774280615315,0,0,0,0,0,0,0,0,0,0,0,231,1,0
"89",89,89,89,0,11.5382604219546,6,1,4,3,31,39,37,12,0,0,0,0,0,0,0.166,0.166,0.166,0.166,0.166,0.166,0,0,0,0,0,0,439.730683822793,0,6.76306352594885,9.54109737773958,11.3233010955249,9.11173690987654,14.0426112520509,12.6826547730217,0,0,0,0,0,6,423,1,0
"90",90,90,90,0,12.9234215522801,2,0,3,49,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,475.892309087253,0,9.54109737773958,11.04926962007,0,0,0,0,0,0,0,0,0,0,534,1,0
"91",91,91,91,0,14.9835247146566,1,0,34,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,421.5996734013,0,11.66787751479,0,0,0,0,0,0,0,0,0,0,0,365,1,0
"92",92,92,92,0,9.26743387853289,2,0,9,55,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,471.015347997731,0,7.80406012825676,10.1474117796323,0,0,0,0,0,0,0,0,0,0,501,1,0
"93",93,93,93,1,12.1253337057926,1,0,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,544.317103638833,0,10.7250079784901,0,0,0,0,0,0,0,0,0,0,0,741,0,0
"94",94,94,94,1,14.8721609651247,2,0,33,39,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,395.907323631464,0,9.91540359655629,9.11173690987654,0,0,0,0,0,0,0,0,0,0,434,0,0
"95",95,95,95,1,13.7663683545526,2,0,30,25,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,471.809479428576,0,10.1384996975031,11.0426857338776,0,0,0,0,0,0,0,0,0,0,713,0,0
"96",96,96,96,1,12.3965306426352,3,1,5,7,12,0,0,0,0,0,0,0,0,0,0.33,0.33,0.33,0,0,0,0,0,0,0,0,0,420.30443572392,0,11.2888051365165,10.945642594976,12.6826547730217,0,0,0,0,0,0,0,0,20,405,0,0
"97",97,97,97,0,10.991493239872,12,0,32,48,3,37,6,7,13,33,24,4,49,50,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,458.839481254963,6.76306352594885,9.60335949708028,12.6319687988971,9.54109737773958,14.0426112520509,6.70776596349245,10.945642594976,10.7984362537483,9.91540359655629,9.51271047069275,11.04926962007,11.1255603693714,0,491,1,0
"98",98,98,98,0,14.6195928862138,3,0,5,56,23,0,0,0,0,0,0,0,0,0,0.33,0.33,0.33,0,0,0,0,0,0,0,0,0,462.114822250666,0,11.2888051365165,11.2095714437702,8.11225407772147,0,0,0,0,0,0,0,0,0,432,1,0
"99",99,99,99,1,15.9193136694381,6,1,38,16,42,4,39,9,0,0,0,0,0,0,0.166,0.166,0.166,0.166,0.166,0.166,0,0,0,0,0,0,464.008948087493,0,9.73603882956232,12.6418455693281,12.231555005867,6.76306352594885,9.11173690987654,7.80406012825676,0,0,0,0,0,20,619,0,0
"100",100,100,100,1,8.61754839736829,2,0,26,16,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,485.799149377987,0,8.83553574538857,12.6418455693281,0,0,0,0,0,0,0,0,0,0,615,0,0
"101",101,101,101,1,12.1893216349298,1,1,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,432.645457996213,0,13.1075611039344,0,0,0,0,0,0,0,0,0,0,12,483,0,0
"102",102,102,102,0,16.8813430237915,1,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,366.775947975639,0,4.43451517905847,0,0,0,0,0,0,0,0,0,0,0,348,1,0
